|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Game        | User_ID                              | Location                                         | Device_Info                            | IP_Address      | Communication_Data                 | Gameplay_Info | Usage_Data | Cookie_ID | Log_Data                                          |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | d82d29c5-e75c-4238-9b68-62378b5d30f4 | Meyerstad, NJ, Saint Lucia                       | ('iPhone 11', 'iOS 15.5')              |  194.96.200.224 | Found a rare Pokemon               |            45 | 2 hrs      | C74924    | Login: 2023-04-23 00:35; Logout: 2023-04-23 00:35 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | 5bc61798-b258-4ee1-b466-d1b4297a45b8 | Martinberg, FL, Algeria                          | Xbox Series X                          |   204.219.32.23 | Building a castle in Minecraft     |            45 | 3 hrs      | C90916    | Login: 2023-04-07 16:09; Logout: 2023-04-07 16:09 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | ca0fe848-fd19-4356-86c0-5c7705a3ad10 | Lake Brian, UT, Guam                             | Xbox Series X                          |  169.96.149.225 | Joining race event in GTA5         |            64 | 4 hrs      | C17728    | Login: 2023-04-13 02:08; Logout: 2023-04-13 02:08 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | 0c1addfc-c5de-470c-a146-f51900c4e503 | New Michelleport, HI, Saint Helena               | Xbox Series X                          |  55.142.246.222 | Building a castle in Minecraft     |            75 | 6 hrs      | C25404    | Login: 2023-04-05 08:25; Logout: 2023-04-05 08:25 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | 41900dae-d48a-4bc1-be1f-b2ce4f435c3e | Jacksonchester, DE, Puerto Rico                  | ('Samsung Galaxy S22', 'Android 11.0') | 146.131.139.191 | Join my team for a raid            |            32 | 1 hrs      | C28595    | Login: 2023-04-05 21:28; Logout: 2023-04-05 21:28 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Pokemon Go  | 79045a67-c44c-4788-8c04-830ef448c8d3 | Port Troyberg, NC, Mauritius                     | Xbox Series X                          |  23.171.137.123 | Found a rare Pokemon               |            27 | 4 hrs      | C19362    | Login: 2023-04-18 15:47; Logout: 2023-04-18 15:47 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Pokemon Go  | f577ea62-7c72-4950-b946-96e9f1347a46 | Sherrimouth, IL, Kazakhstan                      | ('iPhone 12', 'iOS 14.3')              |   59.56.233.243 | Joining race event in GTA5         |            19 | 3 hrs      | C92151    | Login: 2023-04-18 07:04; Logout: 2023-04-18 07:04 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | fbefee38-c8f8-4248-a47c-cbf3a3cf53e1 | Port Cathy, MS, Greece                           | ('iPhone 12', 'iOS 14.2')              |     74.24.75.15 | Need backup at heist in GTA5       |            10 | 4 hrs      | C43705    | Login: 2023-04-11 00:57; Logout: 2023-04-11 00:57 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | ed54db91-a9b4-40d0-a6fa-8d846c75b31e | East Anna, KY, Turks and Caicos Islands          | PS5                                    |    215.208.65.6 | Joining race event in GTA5         |             5 | 5 hrs      | C64655    | Login: 2023-04-26 01:13; Logout: 2023-04-26 01:13 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | 66725a29-8794-406f-9aa5-30d38a415f5a | Joview, AZ, French Polynesia                     | ('iPhone 12', 'iOS 15.2')              |   68.81.225.129 | Join my team for a raid            |            19 | 2 hrs      | C75636    | Login: 2023-04-19 19:26; Logout: 2023-04-19 19:26 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | fb6799c5-0a2d-4687-8d56-35216741a52f | New Daniel, ID, Timor-Leste                      | ('Samsung Galaxy S21', 'Android 12.0') | 200.104.205.155 | Building a castle in Minecraft     |            65 | 3 hrs      | C51006    | Login: 2023-04-16 16:44; Logout: 2023-04-16 16:44 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Pokemon Go  | 54b1da76-d59b-4eaf-8968-a3f69eafb506 | Lake Kyle, FM, Cameroon                          | ('Samsung Galaxy S22', 'Android 12.1') |  159.62.113.103 | Join my team for a raid            |            65 | 2 hrs      | C60317    | Login: 2023-04-14 17:16; Logout: 2023-04-14 17:16 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | feb7c81e-1aa2-42d1-9474-e59307c6ee3c | South Kevinberg, MD, Iceland                     | PS5                                    |   122.201.53.45 | Looking for resources in Minecraft |            63 | 5 hrs      | C91960    | Login: 2023-04-20 13:49; Logout: 2023-04-20 13:49 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Minecraft   | 78c7aef4-39ef-40c3-8ace-092962ce28ff | Pruittberg, DC, Uganda                           | ('Samsung Galaxy S21', 'Android 12.8') | 145.122.158.120 | Join my team for a raid            |            86 | 5 hrs      | C66765    | Login: 2023-04-20 16:39; Logout: 2023-04-20 16:39 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| Pokemon Go  | fb304207-ad90-4d99-b606-4e2c7b5054d9 | Moorefort, NE, Bolivia                           | Xbox Series X                          |    14.50.23.138 | Joining race event in GTA5         |            75 | 4 hrs      | C34153    | Login: 2023-04-13 05:03; Logout: 2023-04-13 05:03 |
|-------------|--------------------------------------|--------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|
| GTA5 Online | fb464ecc-2dad-4223-b956-7f211d523089 | Ginaland, AZ, Georgia                            | PS5                                    | 135.193.237.246 | Joining race event in GTA5         |            86 | 2 hrs      | C87797    | Login: 2023-04-12 10:58; Logout: 2023-04-12 10:58 |
