|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Game        | User_ID                              | Location                                                            | Device_Info                            | IP_Address      | Communication_Data                 | Gameplay_Info | Usage_Data | Cookie_ID | Log_Data                                          | Gameplay_Info_Noisy |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| GTA5 Online | fa32f314-f05e-4198-a49c-b473327069a4 | Port Joanside, RI, Malta                                            | PS5                                    |  68.138.129.180 | Building a castle in Minecraft     |            73 | 2 hrs      | C93961    | Login: 2023-04-05 10:43; Logout: 2023-04-05 10:43 |   66.14068585522432 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Minecraft   | 173743fb-5d75-4533-b943-1e0ee8c0db7e | West Sue, MO, Palestinian Territory                                 | PS5                                    |    24.22.72.149 | Join my team for a raid            |            30 | 6 hrs      | C84867    | Login: 2023-04-17 19:37; Logout: 2023-04-17 19:37 |  34.260125791672735 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Pokemon Go  | e0e4b294-102e-4850-9ad5-b6183c69c154 | Port Adam, MT, Belarus                                              | ('Samsung Galaxy S22', 'Android 11.5') |     167.9.27.97 | Building a castle in Minecraft     |            62 | 6 hrs      | C57629    | Login: 2023-04-11 19:26; Logout: 2023-04-11 19:26 |   61.79716368212458 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Minecraft   | ea48182c-d18b-4307-bcf7-fb6e3d2de6e0 | East Carrieville, IL, Lithuania                                     | ('iPhone 10', 'iOS 14.5')              |    171.64.71.21 | Building a castle in Minecraft     |            59 | 3 hrs      | C51837    | Login: 2023-04-19 11:15; Logout: 2023-04-19 11:15 |    60.0910958000045 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Pokemon Go  | 522bef2b-ade3-4251-bc6a-d26e563c6129 | Port Maryberg, HI, Nicaragua                                        | PS5                                    |   205.5.102.135 | Looking for resources in Minecraft |            25 | 5 hrs      | C12082    | Login: 2023-04-01 09:06; Logout: 2023-04-01 09:06 |   27.50525285456908 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Pokemon Go  | 4456e07a-eabc-4040-9020-802dd1f0e21e | New Pamelahaven, AS, Wallis and Futuna                              | ('iPhone 13', 'iOS 14.1')              | 131.138.204.169 | Need backup at heist in GTA5       |             8 | 1 hrs      | C53410    | Login: 2023-04-23 08:40; Logout: 2023-04-23 08:40 |   7.315189111460976 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| GTA5 Online | 57d5fedc-b735-4f80-8b49-fa3e8f2c2fc1 | Maryfort, LA, North Macedonia                                       | Xbox Series X                          |  113.104.111.21 | Building a castle in Minecraft     |            84 | 5 hrs      | C84285    | Login: 2023-04-12 22:38; Logout: 2023-04-12 22:38 |   84.02614537283209 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| GTA5 Online | 0caf5a87-bbce-4465-9a61-dd0f9e3a0f7f | New Dawn, HI, New Caledonia                                         | Xbox Series X                          |   205.109.14.65 | Joining race event in GTA5         |            70 | 2 hrs      | C46078    | Login: 2023-04-07 16:26; Logout: 2023-04-07 16:26 |   73.83913693392672 |
|-------------|--------------------------------------|---------------------------------------------------------------------|----------------------------------------|-----------------|------------------------------------|---------------|------------|-----------|---------------------------------------------------|---------------------|
| Pokemon Go  | b99caf90-a07e-4fe8-9975-5b076ba5583e | North Samuel, MD, Christmas Island                                  | PS5                                    |  109.184.90.241 | Building a castle in Minecraft     |            57 | 6 hrs      | C20693    | Login: 2023-04-26 10:00; Logout: 2023-04-26 10:00 |   66.36381362229754 |
