User_ID,Location,Device_Info,IP_Address,Communication_Data,Gameplay_Info,Usage_Data,Cookie_ID,Log_Data,location
a105c384-a7b4-476b-8a6c-95bf040728fe,"(33.527137, -74.460084)","('Samsung Galaxy S22', 'Android 11.1')",3.92.194.121,"on."", ""I wish they would stop putting ads for all look so worth the game. Have you seen the new",77,2 hrs,C82829,Login: 2023-05-08 01:44; Logout: 2023-05-08 01:44,"(64.18396366721188, -130.07147260913123)"
c8d46bdf-d384-4375-8fec-c81620759c8c,"(45.006046, -99.572791)",Xbox Series X,214.130.206.5,"sneaky!"", ""nice aim!"", ""nice shot"", ""good luck next match!"", ""let's do this!"", ""i'm pinned down!"", ""hold the new store layout",19,1 hrs,C96949,Login: 2023-05-03 15:34; Logout: 2023-05-03 15:34,"(-4.937229282392927, -258.7976241325449)"
99d8698e-3468-46e6-99c7-dd2446f92f82,"(32.854086, -109.775535)",Xbox Series X,205.220.56.165,"can't wait for a sale before I can't believe they're charging for a good team!"", ""let's do you later!"", ""take",46,2 hrs,C61174,Login: 2023-05-05 12:13; Logout: 2023-05-05 12:13,"(6.8044947696165075, 42.07602643660057)"
39acf393-422c-4fe6-a8b5-2bed0c85f29f,"(28.347459, -72.189679)",Xbox Series X,43.14.72.185,"""covering fire!"", ""attack the objective!"", ""defend the objective!"",",61,3 hrs,C39677,Login: 2023-05-06 11:59; Logout: 2023-05-06 11:59,"(-217.43078998072195, 56.71760971742502)"
1fcbf67a-3796-4e13-9a13-03753b221fbd,"(29.682441, -110.733367)",PS5,20.82.214.217,"care!"", ""good job"", ""gg no re"", ""gl hf"", ""i believe they're charging for that XP boost, but I just playing",29,5 hrs,C76522,Login: 2023-05-08 08:38; Logout: 2023-05-08 08:38,"(-77.46605353123054, -112.10680646985497)"
89389c36-802d-428d-a0cb-51df2bb36f88,"(38.037701, -72.923536)","('iPhone 12', 'iOS 14.8')",215.247.68.108,"know if I wonder what's going to me. I buy any more in-game store that in-game item seller, I'm so",57,5 hrs,C73711,Login: 2023-05-02 18:27; Logout: 2023-05-02 18:27,"(25.058585293706464, -82.73615893057915)"
993928b8-3294-4298-ad63-36d6152a9570,"(32.198979, -99.003389)",Xbox Series X,157.198.152.208,"get. I can't believe how much money on in-game currency pack."", ""I'm so confusing, I don't know if I might",39,6 hrs,C97916,Login: 2023-05-09 11:33; Logout: 2023-05-09 11:33,"(-12.250129310132195, -324.6908377272946)"
4138aefa-49a7-4986-a05e-8113f3c9a932,"(42.618574, -109.408817)",Xbox Series X,132.211.232.199,"game, but I buy anything."", ""Who's going to buy in-game store layout is down again, I like the in-game currency",97,5 hrs,C46531,Login: 2023-05-09 09:38; Logout: 2023-05-09 09:38,"(315.0057721465752, -158.16452275087028)"
c93f0e63-01c4-4bd7-a4cf-5a2526d687a3,"(32.454849, -94.398138)","('iPhone 12', 'iOS 14.7')",171.169.244.158,"pack."", ""I'm tired of control."" ""Who's going to spend my bad!"", ""no problem"", ""let's stick to progress."", ""I just playing",100,2 hrs,C47085,Login: 2023-05-05 16:43; Logout: 2023-05-05 16:43,"(17.49604415659452, -24.08832618829885)"
1c4bc228-3ba9-49f8-83ff-7351960ab4f7,"(26.558695, -77.456302)",Xbox Series X,80.162.246.186,"everywhere."", ""The new emotes are so angry!"", ""The new emotes? They're so expensive, I can't believe I just got a",71,5 hrs,C81407,Login: 2023-05-07 07:04; Logout: 2023-05-07 07:04,"(-14.056621405971086, -98.30854693168847)"
